rest,type,address,address_info,number,site,info,img_url,Mon,Tue,Wen,Thu,Fri,Sat,Sun,lat,lng
신전떡볶이 과기대점,분식,경남 진주시 동진로34번길 4 1층 신전떡볶이,,0504-0544-1369,http://www.odr.kr/mxsnzl,"포장, 배달",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241212_289%2F1733985987348jEAAn_JPEG%2FIMG_8992.jpeg,월11:00 - 21:00,화정기휴무 (매주 화요일),수11:00 - 21:00,목11:00 - 21:00,금11:00 - 21:00,토11:00 - 21:00,일11:00 - 21:00,35.1786527,128.0947639
행배,술집,경남 진주시 진주대로 930-1 1층,찾아가는길올키베이커리 옆옆건물,0507-1331-6785,https://www.instagram.com/haengbaeisgoodday,단체 이용 가능,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241104_96%2F1730706982998u7fBl_JPEG%2FIMG_4242.jpeg,월19:00 - 24:00,화19:00 - 24:00,수19:00 - 24:00,목19:00 - 24:00,금19:00 - 01:00,토19:00 - 01:00,일정기휴무 (매주 일요일),35.1833036,128.0891824
라쿵푸마라탕 진주점,마라탕,경남 진주시 동진로 25 1층 라쿵푸마라탕 진주점,"찾아가는길태성빌딩 1층 공차,올리브영 바로 옆에 있습니다~~^^(오른쪽옆) 찾아오시기 힘드시면 매장으로 연락주시면 빠르게 도와드리겠습니다. 주차가능합니다~ 태성빌딩 건물 주차장에 주차하시고 가시기전 매장에서 한시간 무료주차권 신청해주시면 됩니다.내용 더보기",0507-1319-6896,,"단체 이용 가능, 주차, 배달, 포장, 예약, 무선 인터넷",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzExMDJfMTYy%2FMDAxNjk4ODk0NjQ4MDM4.YKgSmeVlzW8Dhj3ceFkEaEgDPxLgoypfTw8JAU9DHFAg.rb5IxVcRr5vT9FPkUdIMbjekz2Tm9dm5bkdwV0DA2fUg.JPEG.kimjeonga4645%2Foutput_1542859805.jpg,"월11:00 - 21:00
15:00 - 17:00 브레이크타임
20:15 라스트오더","화11:00 - 21:00
15:00 - 17:00 브레이크타임
20:15 라스트오더","수11:00 - 21:00
15:00 - 17:00 브레이크타임
20:15 라스트오더",목정기휴무 (매주 목요일),"금11:00 - 21:00
15:00 - 17:00 브레이크타임
20:15 라스트오더","토11:00 - 21:00
15:00 - 17:00 브레이크타임
20:15 라스트오더","일12:00 - 21:00
15:00 - 17:00 브레이크타임
20:15 라스트오더",35.1790722,128.0938901
국수나무 칠암점,국수,경남 진주시 동진로34번길 6,,055-762-5940,https://www.namuya.co.kr/,"포장, 무선 인터넷, 배달",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA2MTJfMjEy%2FMDAxNjg2NTcwODAyNTEz.PaTz7JbVQ8UwiWBrfrcJCUYiJsMGSxC_W7y-U6ve9GQg.-r1lrZxLbWO5_ldF_tzDKbK00mTJzhxflQtOGOz2TrEg.JPEG.junkim1201%2FIMG_7149.jpg,"월11:00 - 20:00
14:40 - 17:00 브레이크타임","화11:00 - 20:00
14:40 - 17:00 브레이크타임","수11:00 - 20:00
14:40 - 17:00 브레이크타임","목11:00 - 20:00
14:40 - 17:00 브레이크타임","금11:00 - 20:00
14:40 - 17:00 브레이크타임","토11:00 - 20:00
14:40 - 17:00 브레이크타임",일정기휴무 (매주 일요일),35.1784624,128.0948747
페퍼그라인더,"카페,디저트",경남 진주시 진주대로866번길 16 1층일부,찾아가는길고속버스 터미널 뒷길 구)백운세탁소,0507-1337-6834,https://www.instagram.com/hoochugalgal,"포장, 무선 인터넷, 반려동물 동반, 대기공간",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA1MTZfODkg%2FMDAxNzE1ODY0MDQ1MTcy.Hv9I23sLlNDpfwILQuZtzfV4mz3Z-9TzQYbUe0CmIt8g.NZIr41L63rwmVOyu0aNQRYABTS43eVuLHk68-T6aEPIg.JPEG%2F%25C1%25F8%25C1%25D6_%25C4%25A5%25BE%25CF%25B5%25BF%25BB%25A7%25C1%25FD_%25C6%25E4%25C6%25DB%25B1%25D7%25B6%25F3%25C0%25CE%25B4%25F5_%25BC%25D2%25B1%25DD%25BB%25A717.JPG,월11:00 - 18:00,화11:00 - 18:00,수11:00 - 18:00,목11:00 - 18:00,금11:00 - 18:00,토11:00 - 18:00,일정기휴무 (매주 일요일),35.177771,128.0931826
히얼,"카페,디저트",경남 진주시 진주대로930번길 10-1 2층,찾아가는길CU 진주 칠암 원룸점 2층,0507-1361-6224,https://www.instagram.com/here_jinju,"단체 이용 가능, 포장, 무선 인터넷, 남/녀 화장실 구분, 반려동물 동반",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTAxMTJfMTMy%2FMDAxNzM2NjgzODE3MTI5.ln0-ALfmF0y_vUN2tQjyl_54jdjz3EOuw3Pc0fG7rDAg.ZoszXbll8RqZNBg0QQa-kd_nElyebJyxeDF9-GaS6s0g.JPEG%2FIMG_5857.JPG,월정기휴무 (매주 월요일),"화12:00 - 20:00
19:00 라스트오더","수12:00 - 20:00
19:00 라스트오더","목12:00 - 20:00
19:00 라스트오더","금12:00 - 20:00
19:00 라스트오더","토12:00 - 20:00
19:00 라스트오더","일12:00 - 20:00
19:00 라스트오더",35.1833858,128.0900506
올키베이커리,베이커리,경남 진주시 진주대로930번길 5 1층,찾아가는길칠암동 진주팥죽 골목으로 들어오세요 '빵'이 반겨줄거예요,0507-1363-6785,http://instagram.com/olki_bakery,"예약, 포장, 무선 인터넷",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEyMTdfMTM0%2FMDAxNzM0NDM2NTEzOTU2.bctvmqibzxKHaGM0GIkgbUEbKWZW9GeC61NTKcP_bngg.G5FXQNeM_ALVPcq0aZ8uo2nsdgQLELpZ5OB4VdyTRG8g.JPEG%2FIMG_5585.JPG,월정기휴무 (매주 월요일),화11:00 - 18:00,수11:00 - 18:00,목11:00 - 18:00,금11:00 - 18:00,토11:00 - 16:00,일정기휴무 (매주 일요일),35.183416,128.0894988
라프,"카페,디저트",경남 진주시 강남로167번길 30 1층,찾아가는길국립경상대학교 칠암캠퍼스(구 과기대) 후문 라인에 위치합니다.,0507-2085-0542,https://www.instagram.com/laf.coffeebread,"무선 인터넷, 포장, 반려동물 동반, 간편결제",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241003_279%2F1727932843269Dkvvq_JPEG%2FIMG_0293.jpeg,"월08:30 - 18:00
17:30 라스트오더","화08:30 - 18:00
17:30 라스트오더","수08:30 - 18:00
17:30 라스트오더","목08:30 - 18:00
17:30 라스트오더","금08:30 - 18:00
17:30 라스트오더","토08:30 - 17:00
16:30 라스트오더",일정기휴무 (매주 일요일),35.1824397,128.0927864
베이글델리,베이커리,경남 진주시 동진로20번길 15,"찾아가는길경상대 칠암캠퍼스 의대 정문 근처에 있습니다:) 건물 옆 주차장 주차가 가능하나, 공간이 협소하여 주차자리가 없는 경우 근처 노상에 잠깐 주차 부탁드립니다! 찾아주셔서 감사합니다:)",0507-1399-1813,https://app.catchtable.co.kr/ct/shop/bageldeli_7rock?from=share&type=WAITING,"포장, 예약, 간편결제, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240925_263%2F1727213099112nU6tK_JPEG%2FKakaoTalk_20240913_213613947_01.jpg,매일11:00 - 21:00,,,,,,,35.1777237,128.0937313
떠무,케이크전문,경남 진주시 강남로167번길 8 1층일부,찾아가는길경상국립대학교칠암캠퍼스(구 과기대)후문 이디야/다다피크닉 사이에 위치하고 있어요!,0507-1344-9307,https://www.instagram.com/tmu_cake,"포장, 예약, 대기공간",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTAxMjFfMTYg%2FMDAxNzM3NDU2NzU2NDQ2.fj_Gp_WlnTZ0CkZCuA5b8RdwN6bz9_PBW3X5oKuTNEUg.nKoqrYeXlm_NVa9wtRBMNmMJvRvOXO6-enj6ohfQRuQg.JPEG%2FKakaoTalk_20250120_223033154_04.jpg,매일00:00 - 24:00,,,,,,,35.1831531,128.0949637
카페비상,카페,경남 진주시 강남로189번길 27-3 1층 카페비상,찾아가는길(칠암어린이공원)맞은 편 1층에 위치하고 있습니다. 가게 건물옆 주차장(차량4대) 주차 가능합니다.내용 더보기,055-744-8032,http://www.instagram.com/cafe_bisang,"주차, 포장, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEyMTNfMjAw%2FMDAxNzM0MDY5MzM2NTA4.0TFifNbPezcrUVui9ozQTBbp0YfsNJazX5YFK9mJIC4g.-waGgfVVlpifdv8-DO_BrSwY-fQB2mcT3_Z4Ee_rZxYg.JPEG%2F20241213%25A3%25DF125114.jpg,월정기휴무 (매주 월요일),"화10:00 - 17:00
16:30 라스트오더","수10:00 - 17:00
16:30 라스트오더","목10:00 - 17:00
16:30 라스트오더","금10:00 - 17:00
16:30 라스트오더","토10:00 - 18:00
17:30 라스트오더",일정기휴무 (매주 일요일),35.1838304,128.0919473
깅코이터리,"카페,디저트",경남 진주시 진주대로920번길 21 깅코이터리,,0507-1311-5131,http://instagram.com/ranine__dessert,"포장, 단체 이용 가능, 유아의자",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240831_36%2F1725083869346Cne59_JPEG%2F%25C1%25A6%25B8%25F1_%25BE%25F8%25B4%25C2_%25BE%25C6%25C6%25AE%25BF%25F6%25C5%25A9.jpeg,월(3/3)대체공휴일(삼일절)10:00 - 19:00,"화10:00 - 19:00
18:40 라스트오더","수10:00 - 19:00
18:40 라스트오더","목10:00 - 19:00
18:40 라스트오더","금10:00 - 19:00
18:40 라스트오더","토10:00 - 19:00
18:40 라스트오더",일(3/9)휴무,35.1831204,128.0915253
목요일 오후 네 시,"카페,디저트",경남 진주시 강남로247번길 6-1 1층,,0507-1309-0221,https://smartstore.naver.com/thu_pm4,"포장, 무선 인터넷",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190822_248%2F1566478018583Wq1yl_JPEG%2F_s_EB40_SL3MiueZEO1tWW-A.jpeg.jpg,월11:30 - 18:00,화11:30 - 18:00,수11:30 - 18:00,목11:30 - 18:00,금11:30 - 18:00,토11:30 - 18:00,일정기휴무 (매주 일요일),35.1878674,128.0899935
마망구떼,"카페,디저트",경남 진주시 강남로 169,,055-748-0001,https://mamanguddae.modoo.at/,"포장, 예약",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191224_291%2F1577178558977QIORS_JPEG%2FRGcd8ozRg34DrqO8d_u1vrV3.jpg,월정기휴무 (매주 월요일),화11:00 - 21:00,수11:00 - 21:00,목11:00 - 21:00,금11:00 - 21:00,토11:00 - 21:00,일11:00 - 21:00,35.1832987,128.0954554
레이지독,"카페,디저트",경남 진주시 진주대로908번길 17-6 1층,"찾아가는길1) 자가용 이용시 네이버, 네이버지도 네비게이션에 레이지독을 검색 또는 진주대로908번길 17-6 을 검색 [주차정보] 매장 앞, 인근 골목 [주차단속 지역] 매장 앞 반대편도로 , 세무서근처 골목 주차단속 제외지역이라 편하게 주차하시면 됩니다. 2) 도보 이용시 진주세무서 에...내용 더보기",0507-1340-9824,https://band.us/@lazydog,"포장, 배달, 단체 이용 가능, 예약, 간편결제, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230919_80%2F1695057544028bTKzr_JPEG%2FIMG_5033.jpeg,월정기휴무 (매주 월요일),"화08:00 - 20:00
19:00 라스트오더","수08:00 - 20:00
19:00 라스트오더","목08:00 - 20:00
19:00 라스트오더","금08:00 - 20:00
19:00 라스트오더","토11:00 - 17:00
16:00 라스트오더","일11:00 - 17:00
16:00 라스트오더",35.1824237,128.09166
이너웨이브커피,카페,경남 진주시 진주대로920번길 22 1층,,070-7537-1696,http://instagram.com/innerwave_jinju,"단체 이용 가능, 예약",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220827_82%2F1661591321361sAJ4G_JPEG%2FKakaoTalk_20220715_135125563.jpg,월(3/3)12:00 - 20:00,화12:00 - 21:00,수12:00 - 21:00,목12:00 - 21:00,금12:00 - 21:00,토12:00 - 20:00,일12:00 - 20:00,35.1828492,128.0917003
퍼시먼,"카페,디저트",경남 진주시 강남로255번길 3 퍼시먼,"찾아가는길평일 오후 6시 이후 주말, 공휴일에는 강변에 주차하셔도 됩니다.내용 더보기",0507-1372-4141,https://www.instagram.com/cafe_persimmon,"단체 이용 가능, 포장, 예약, 유아의자, 반려동물 동반",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200301_13%2F1583022544289zBu6n_JPEG%2F3YsO8a_3bAeWyQ6h-oQsOmJX.jpeg.jpg,월정기휴무 (매주 월요일),화정기휴무 (매주 화요일),수정기휴무 (매주 수요일),목정기휴무 (매주 목요일),금정기휴무 (매주 금요일),토12:00 - 20:00,일12:00 - 20:00,35.1881838,128.0892505
오유 케이크,케이크전문,경남 진주시 진주대로920번길 5-6 1층 오유케이크,찾아가는길미르치과병원 뒤 첫번째골목,0507-1319-9687,https://instagram.com/o.u_cake?igshid=jz5moa42vwuk,"포장, 방문접수/출장, 예약, 반려동물 동반, 배달",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201113_54%2F1605257005023HjqhN_JPEG%2FVUWJDIB8ZzvXRKsXGcH-YqNb.jpeg.jpg,"월11:00 - 19:00
17:30 라스트오더","화11:00 - 19:00
17:30 라스트오더","수11:00 - 19:00
17:30 라스트오더","목11:00 - 19:00
17:30 라스트오더","금11:00 - 19:00
17:30 라스트오더","토11:00 - 19:00
17:30 라스트오더","일10:00 - 12:00
10:30 라스트오더",35.1829375,128.0899319
빌레이커피집,"카페,디저트",경남 진주시 강남로201번길 25 1층,찾아가는길경남문화예술회관 주차장에서 도보 2-3분 거리입니다. 골목 빈 곳 주차가능합니다.,0507-1357-9160,https://www.instagram.com/belay_coffeehouse,"무선 인터넷, 포장, 예약, 간편결제",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEwMjRfMzcg%2FMDAxNzI5NzUwODkzNjE3.wsVVYuJH5DLqkFs1MLsopXDf59-yMJS3Zn02cnBxj-kg.7n7moX_alqV7Jcvt-8qU198HtdxHn58iuWirlNST6dMg.JPEG%2Foutput_2052504079.jpg,월(3/3)휴무,화11:00 - 19:00,수11:00 - 19:00,목11:00 - 19:00,금11:00 - 19:00,토11:00 - 19:00,일11:00 - 19:00,35.1850644,128.0912974
뺑드,베이커리,경남 진주시 강남로95번길 7 1층,찾아가는길칠암한주아파트 정문 맞은편에 있습니다.,0507-1376-4753,https://www.instagram.com/pain_de_bakery,"포장, 무선 인터넷, 예약, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241118_190%2F1731928621763xAMdK_JPEG%2F1731835425631.jpg,월10:30 - 19:00,화10:30 - 19:00,수10:30 - 19:00,목10:30 - 19:00,금10:30 - 19:00,토정기휴무 (매주 토요일),일10:30 - 19:00,35.1771781,128.0966606
카페만나,"카페,디저트",경남 진주시 진주대로920번길 12-9 2층,,0507-1345-2057,https://instagram.com/kaffee_mannah?igshid=1d23be2bzi90a,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA3MDlfMTg2%2FMDAxNzIwNDgwMDc0MDA3.66n-WgMm7iZqkzw0QipnlWlMZFRbYNVD8jG88W8PMLAg.UkeUnjDA9lc824Hn2cMI6p-lwy1CC8xGpg-O5O63tmQg.JPEG%2F3472501026082893136_20240709075731961.jpg,월(3/3)14:00 - 21:00,화12:00 - 21:00,수12:00 - 21:00,목12:00 - 21:00,금12:00 - 21:00,토12:00 - 21:00,일정기휴무 (매주 일요일),35.1824472,128.0910382
우두두,"카페,디저트",경남 진주시 진주대로908번길 21 1층,찾아가는길진주세무서에서 강변쪽으로 오시면 GS편의점 옆 코너에 있습니다.,0507-1401-0222,https://www.instagram.com/ududu_bake,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230313_149%2F1678703107133HqDaj_JPEG%2FE9634240-B508-407D-B35C-3C32CA5CB2A7.jpeg,월정기휴무 (매주 월요일),화12:00 - 19:00,수12:00 - 19:00,목12:00 - 19:00,금12:00 - 19:00,토12:00 - 19:00,일정기휴무 (매주 일요일),35.1821969,128.092032
레드브릭하우스,"카페,디저트",경남 진주시 강남로201번길 17-7 1층,찾아가는길경남문화예술회관 도보 3분거리에 있습니다 :),0507-1340-5826,https://www.instagram.com/redbrickhouse_in_jinju/,"단체 이용 가능, 포장, 무선 인터넷, 유아의자, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240806_147%2F1722922919881nEt5H_JPEG%2FIMG_7773.jpeg,월12:00 - 19:00,화12:00 - 19:00,수12:00 - 19:00,목12:00 - 19:00,금12:00 - 19:00,토12:00 - 19:00,일정기휴무 (매주 일요일),35.1850221,128.0922827
세렌디피티,"카페,디저트",경남 진주시 동진로50번길 12 1층,찾아가는길주차공간이 매우 협소합니다.,,https://www.instagram.com/alonso__quijano,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAxMjFfMTQx%2FMDAxNjc0Mjc4ODA0MTA0.Z4KduIeuvvnaNgFHB74MmS_wh9ekTz8emdshccFfSSAg.Q6W_35soDV-rcf_WwNikN8rlC2KO7Mj2S301Gu-n4ggg.JPEG.yytngus%2F20230119_162916.jpg,월09:30 - 23:00,화09:30 - 23:00,수09:30 - 23:00,목09:30 - 23:00,금09:30 - 23:00,토12:00 - 18:00,일정기휴무 (매주 일요일),35.1781548,128.096589
라꼬크,케이크전문,경남 진주시 강남로151번길 3 채이빌 2층,"찾아가는길참진주 부동산 맞은 편, 우심방 건물 2층입니다. 우심방 건물입구에서 강변쪽으로 바라보시면 건물입구가 보입니다. 건물입구로 올라오시면되세요내용 더보기",0507-1371-4733,https://blog.naver.com/murderer6666,"배달, 포장, 예약, 방문접수/출장, 단체 이용 가능, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240612_268%2F1718162991041IoFbu_JPEG%2FKakaoTalk_20240612_122932237_05.jpg,"매일07:00 - 24:00
23:30 라스트오더",,,,,,,35.1816217,128.096135
스타벅스 경상대칠암캠퍼스점,카페,경남 진주시 동진로 22 (칠암동),찾아가는길진주고속버스터미널 바로 옆 / 경상국립대칠암캠퍼스(구 과학기술대) 맞은 편 시내버스 이용 시 - 고속터미널역 하차내용 더보기,1522-3232,http://www.starbucks.co.kr/,주차,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,,,,,,,,35.1828995,128.0933826
프레커피,카페,경남 진주시 진주대로966번길 20-8 1층,찾아가는길칠암동 천전초등학교정문에서 현대아파트쪽 200m올라오시면 위치해있습니다내용 더보기,0507-1324-1793,https://smartstore.naver.com/sjw1793,"예약, 무선 인터넷, 단체 이용 가능, 포장, 배달, 방문접수/출장, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180822_296%2F1534923896009wduVd_JPEG%2F5dHp69GVtLqgAgxXGnWSTURT.jpg,월정기휴무 (매주 월요일),"화12:00 - 19:00
18:50 라스트오더","수12:00 - 19:00
18:50 라스트오더","목12:00 - 19:00
18:50 라스트오더","금12:00 - 19:00
18:50 라스트오더","토12:00 - 19:00
18:50 라스트오더","일12:00 - 19:00
18:50 라스트오더",35.1863471,128.0894321
케빈커피로스터스 칠암 직영점,카페,경남 진주시 동진로20번길 21 1층,찾아가는길경상대병원 후문 쪽 입니다 :),070-8834-6678,https://www.instagram.com/kevincoffee_jinju,"포장, 배달",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240506_185%2F1714971297146RQCae_JPEG%2FKakaoTalk_Photo_2024-05-06-13-54-34_005.jpeg,"월07:30 - 16:30
16:15 라스트오더","화07:30 - 16:30
16:15 라스트오더","수07:30 - 16:30
16:15 라스트오더","목07:30 - 16:30
16:15 라스트오더","금07:30 - 16:30
16:15 라스트오더","토11:00 - 16:00
15:45 라스트오더",일정기휴무 (매주 일요일),35.1778714,128.0942785
미닛케이크,케이크전문,경남 진주시 동진로50번길 5 1층,찾아가는길칠암동 시외버스정류소 맞은편입니다. 경상국립대 칠암캠퍼스 정문 버스정류장에서 도보1분 입니다.내용 더보기,0507-1471-1393,https://www.instagram.com/mean_it_cake?igsh=b29wdGt1MTdrc3E5,"포장, 예약, 무선 인터넷, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231119_102%2F1700383388588mmRRU_JPEG%2FIMG_0186.jpeg,월(3/3)휴무,화11:00 - 20:00,수11:00 - 20:00,목11:00 - 20:00,금11:00 - 20:00,토정기휴무 (매주 토요일),일정기휴무 (매주 일요일),35.1785979,128.0966682
수해복마라탕&샹궈 진주칠암점,중식당,경남 진주시 동진로38번길 15 1층,,0507-1402-9181,,"단체 이용 가능, 예약, 무선 인터넷, 포장, 남/녀 화장실 구분",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210804_234%2F1628071245850U287I_JPEG%2FOVQujXliAx7ARsTW0qUcSzkf.jpg,매일11:00 - 22:00,,,,,,,35.1784925,128.0962242
등촌샤브칼국수 진주칠암점,"칼국수,만두",경남 진주시 동진로 25 태성빌딩 2층 201호,"찾아가는길건물 내 지하 1,2층에 주차가 가능하며, 차량번호를 말하면 1시간 무료 주차 가능합니다. 진주 고속버스터미널 건너편 올리브영 건물 2층에 있어 접근성이 좋습니다 고려병원 방면에서 오시는 경우 경상대학교 칠암캠퍼스 정문에서 대학교 진입 후 유턴하셔서 진입하시면 됩니다.내용 더보기",0507-1438-5502,,"단체 이용 가능, 포장, 무선 인터넷, 남/녀 화장실 구분, 배달, 예약, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221103_103%2F1667445575751HzxJG_JPEG%2FKakaoTalk_20221103_121806963_01.jpg,"월11:00 - 21:30
15:30 - 17:00 브레이크타임
14:30, 20:30 라스트오더","화11:00 - 21:30
15:30 - 17:00 브레이크타임
14:30, 20:30 라스트오더","수11:00 - 21:30
15:30 - 17:00 브레이크타임
14:30, 20:30 라스트오더",목정기휴무 (매주 목요일),"금11:00 - 21:30
15:30 - 17:00 브레이크타임
14:30, 20:30 라스트오더","토11:00 - 21:30
15:30 - 17:00 브레이크타임
14:30, 20:30 라스트오더","일11:00 - 21:30
15:30 - 17:00 브레이크타임
14:30, 20:30 라스트오더",35.1791669,128.0937959
편식,요리주점,경남 진주시 동진로34번길 6 1층,"찾아가는길흐루 맞은 편, 국수나무 옆에 위치해 있습니다.",0507-1354-5394,https://www.instagram.com/pyunsik_,단체 이용 가능,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240630_190%2F1719723945727G2qfL_JPEG%2FIMG_0305.jpeg,월정기휴무 (매주 월요일),"화18:00 - 04:00
03:00 라스트오더","수18:00 - 04:00
03:00 라스트오더","목18:00 - 04:00
03:00 라스트오더","금18:00 - 04:00
03:00 라스트오더","토18:00 - 04:00
03:00 라스트오더","일18:00 - 04:00
03:00 라스트오더",35.1784624,128.0948747
타짜오리하우스 진주점,오리요리,"경남 진주시 강남로227번길 7 1, 2, 3층","찾아가는길경남문화예술회관, 천전초등학교 정문 사이에 위치하였습니다.",0507-1475-5262,https://www.instagram.com/orihouse_jinju?igsh=MWRybGJ2NmVoZ3ZkdA==,"단체 이용 가능, 포장, 예약, 남/녀 화장실 구분, 유아의자, 주차",https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240625_14%2F1719304302825Fwx3T_JPEG%2F1000009771.jpg,월(3/3)대체공휴일(삼일절)11:00 - 21:00,"화11:00 - 21:00
15:00 - 16:00 브레이크타임
20:00 라스트오더","수11:00 - 21:00
15:00 - 16:00 브레이크타임
20:00 라스트오더","목11:00 - 21:00
15:00 - 16:00 브레이크타임
20:00 라스트오더","금11:00 - 21:00
15:00 - 16:00 브레이크타임
20:00 라스트오더","토11:00 - 21:00
20:00 라스트오더",일정기휴무 (매주 일요일),35.1871212,128.0911999
영빈가든진주 본점,오리요리,경남 진주시 강남로 233 영빈가든,찾아가는길경남문화예술회관과 포시즌(구 귀빈예식장) 사이 강변도로에 위치하고 있습니다.내용 더보기,055-759-0808,,주차,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231001_217%2F1696142251573xXcNb_JPEG%2F1000003271.jpg,월(3/3)대체공휴일(삼일절)11:30 - 21:30,"화11:30 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더","수11:30 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더","목11:30 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더","금11:30 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더","토11:30 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더",일정기휴무 (매주 일요일),35.1877579,128.0910113
스시수,"초밥,롤",경남 진주시 진주대로920번길 13,,0507-1493-1255,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180816_248%2F1534386547824JESrn_JPEG%2FMrxZ6rc-724lOFGHq7OqclYn.jpg,"매일11:50 - 21:30
14:30 - 17:00 브레이크타임",,,,,,,35.1828666,128.0907447
명샤브,샤브샤브,경남 진주시 동진로 36,,055-761-7145,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200124_232%2F1579853817888mtoRM_JPEG%2F2JMkKOMOhcJbS_aUOLy3kh1k.jpg,"월10:30 - 19:40
14:30 - 17:00 브레이크타임","화10:30 - 19:40
14:30 - 17:00 브레이크타임","수10:30 - 19:40
14:30 - 17:00 브레이크타임","목10:30 - 19:40
14:30 - 17:00 브레이크타임","금10:30 - 19:40
14:30 - 17:00 브레이크타임",토10:30 - 14:30,일정기휴무 (매주 일요일),35.1787516,128.0950777
맛있는 착한고기 칠암직영점,"육류,고기요리",경남 진주시 동진로34번길 7-1 1층,찾아가는길경상대 칠암 캠퍼스 정문 맞은편 50 미터 앞에 위치해 있습니다,0507-1387-4146,,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분, 대기공간",https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTAxMjFfOTEg%2FMDAxNzM3NDQ1NDkyNzcz.ba0AHrsjDayhX7js6kJvS7bsfPA2idkhgh26YngKltog.TdQg6TbYlCialYPTLu8v3q_PK61xIi9Bk4Wkh22nVCIg.JPEG%2FIMG_6074.jpg,월(3/3)17:00 - 23:00,화16:30 - 23:00,수16:30 - 23:00,목16:30 - 23:00,금16:30 - 23:00,토16:30 - 23:00,일16:30 - 23:00,35.178431,128.0952013
